,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
107,Jaden McDaniels,MIN,20,63,18,45,24.0,109.6,113.1,-3.4,6.4,1.51,14.1,3.2,11.8,7.3,9.3,54.5,55.2,11.8,103.13,5.0,"3,250"
108,Jarrett Allen,CLE,23,63,20,43,29.6,108.3,113.9,-5.6,8.7,1.06,12.9,10.6,23.2,17.0,12.2,62.4,66.1,16.3,98.96,13.8,"3,847"
109,John Collins,ATL,23,63,34,29,29.3,116.0,111.7,4.3,6.5,0.93,7.7,6.4,18.3,12.5,8.2,61.0,64.5,21.4,99.99,12.5,"3,858"
110,Luke Kennard,LAC,24,63,44,19,19.6,114.0,114.4,-0.4,12.0,2.17,18.0,1.3,11.8,6.6,8.3,59.7,60.8,16.6,99.00,8.4,"2,535"
111,Rudy Gay,SAS,34,63,29,34,21.6,108.4,103.9,4.5,10.0,1.35,10.7,2.8,17.6,10.2,7.9,50.5,53.2,23.0,101.26,10.8,"2,865"
112,Shake Milton,PHI,24,63,46,17,23.2,109.3,105.0,4.3,21.0,1.87,18.6,2.2,7.6,4.9,9.9,50.3,54.9,23.9,101.45,10.1,"3,087"
113,Stephen Curry,GSW,33,63,37,26,34.2,114.2,109.6,4.6,28.3,1.70,17.4,1.3,13.5,7.7,10.2,60.5,65.5,33.1,105.16,18.1,"4,725"
114,Trae Young,ATL,22,63,36,27,33.7,118.2,113.0,5.2,42.6,2.28,26.9,1.8,9.4,5.7,11.8,49.9,58.9,32.0,100.50,15.0,"4,464"
115,Denzel Valentine,CHI,27,62,26,36,16.7,107.7,106.7,1.0,14.4,2.50,18.4,2.2,16.8,9.4,7.4,46.9,47.9,19.0,100.05,8.5,"2,170"
116,Devin Vassell,SAS,20,62,30,32,17.0,106.5,108.9,-2.4,7.1,2.55,14.0,2.1,13.8,7.9,5.5,49.2,52.4,13.8,102.37,7.1,"2,247"
