,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
1734,OKC @ LAC,01/22/2021,,L,48,106,41,87,47.1,14,42,33.3,10,13,76.9,4,25,29,24,11,8,1,21,-14,SAC vs. NYK,01/22/2021,,W,48,107.3,98.9,8.3,55.3,3.50,15.9,26.8,69.2,49.6,6.3,48.4,51.4,95.50,58.5
1735,BOS @ PHI,01/22/2021,,L,48,110,41,90,45.6,12,30,40.0,16,20,80.0,10,22,32,23,13,10,5,21,-12,NYK @ SAC,01/22/2021,,L,48,98.9,107.3,-8.3,52.8,1.58,14.2,30.8,73.2,50.4,12.6,41.0,44.8,95.50,41.5
1736,UTA vs. NOP,01/21/2021,,W,48,129,44,88,50.0,17,39,43.6,24,25,96.0,8,31,39,27,15,8,8,27,11,UTA vs. NOP,01/21/2021,,W,48,122.9,114.6,8.3,61.4,1.80,19.0,27.3,72.3,50.5,14.3,59.7,65.2,104.00,52.7
1737,MIL vs. LAL,01/21/2021,,L,48,106,44,87,50.6,9,28,32.1,9,12,75.0,5,41,46,27,15,5,5,18,-7,GSW vs. NYK,01/21/2021,,L,48,104.0,119.0,-15.0,81.8,2.70,18.9,26.2,74.0,47.7,10.0,43.6,50.4,100.00,42.3
1738,NYK @ GSW,01/21/2021,,W,48,119,38,82,46.3,11,24,45.8,32,41,78.0,11,44,55,24,11,5,9,29,15,NOP @ UTA,01/21/2021,,L,48,114.6,122.9,-8.3,64.3,1.50,18.9,27.7,72.7,49.5,17.5,55.9,60.1,104.00,47.3
1739,GSW vs. NYK,01/21/2021,,L,48,104,33,86,38.4,9,38,23.7,29,39,74.4,9,37,46,27,10,5,3,26,-15,LAL @ MIL,01/21/2021,,W,48,111.9,107.1,4.8,61.0,2.50,18.8,14.3,79.5,45.2,9.9,57.4,59.7,100.00,51.4
1740,NOP @ UTA,01/21/2021,,L,48,118,42,85,49.4,11,25,44.0,23,30,76.7,10,31,41,27,18,9,2,19,-11,NYK @ GSW,01/21/2021,,W,48,119.0,104.0,15.0,63.2,2.18,17.6,26.0,73.8,52.3,11.0,53.0,59.5,100.00,57.7
1741,LAL @ MIL,01/21/2021,,W,48,113,41,88,46.6,19,37,51.4,12,15,80.0,6,32,38,25,10,8,8,14,7,MIL vs. LAL,01/21/2021,,L,48,107.1,111.9,-4.8,61.4,1.80,20.0,20.5,85.7,54.8,15.2,55.7,57.4,100.00,48.6
1742,SAC @ LAC,01/20/2021,,L,48,96,39,86,45.3,13,28,46.4,5,12,41.7,4,35,39,25,18,11,4,15,-19,GSW vs. SAS,01/20/2021,,W,48,117.5,95.2,22.3,67.4,2.07,21.1,27.7,76.2,55.5,14.6,58.8,60.6,103.50,62.8
1743,MIA @ TOR,01/20/2021,,W,48,111,39,80,48.8,18,40,45.0,15,17,88.2,8,38,46,29,19,4,5,19,9,BKN @ CLE,01/20/2021,,L,58,111.6,122.5,-10.9,62.5,1.88,18.1,26.7,72.7,48.7,13.2,52.4,57.3,99.72,47.1
1744,PHX @ HOU,01/20/2021,,W,48,109,42,89,47.2,8,34,23.5,17,19,89.5,8,37,45,25,17,6,11,21,6,SAS @ GSW,01/20/2021,,L,48,95.2,117.5,-22.3,48.6,1.70,12.5,23.8,72.3,44.5,9.6,39.4,46.0,103.50,37.2
1745,SAS @ GSW,01/20/2021,,L,48,99,35,94,37.2,4,33,12.1,25,31,80.6,12,31,43,17,10,7,2,15,-22,BOS @ PHI,01/20/2021,,L,48,111.2,119.4,-8.2,52.4,1.38,16.1,34.7,76.1,54.7,16.3,53.9,55.7,98.00,41.4
1746,ATL vs. DET,01/20/2021,,W,53,123,44,100,44.0,9,23,39.1,26,38,68.4,23,40,63,21,14,6,10,15,8,LAC vs. SAC,01/20/2021,,W,48,111.7,93.2,18.4,58.5,1.41,17.5,21.7,84.6,55.1,16.5,57.0,61.2,103.00,59.4
1747,DET @ ATL,01/20/2021,,L,53,115,44,97,45.4,10,31,32.3,17,19,89.5,7,35,42,22,13,9,3,28,-8,TOR vs. MIA,01/20/2021,,L,48,106.3,115.6,-9.4,77.1,2.08,19.6,29.6,73.8,49.0,13.5,48.9,53.2,96.00,44.0
1748,BKN @ CLE,01/20/2021,,L,58,135,48,106,45.3,15,41,36.6,24,27,88.9,13,39,52,30,16,8,11,24,-12,ATL vs. DET,01/20/2021,,W,53,113.9,107.5,6.4,47.7,1.50,13.6,41.3,79.2,58.6,13.0,48.5,52.7,97.36,54.9
1749,IND vs. DAL,01/20/2021,,L,48,112,41,92,44.6,16,39,41.0,14,21,66.7,8,30,38,21,10,6,3,20,-12,IND vs. DAL,01/20/2021,,L,48,109.8,121.6,-11.8,51.2,2.10,15.8,20.8,73.9,45.5,9.8,53.3,55.3,102.00,39.1
1750,TOR vs. MIA,01/20/2021,,L,48,102,35,88,39.8,16,49,32.7,16,18,88.9,12,29,41,27,13,8,3,21,-9,HOU vs. PHX,01/20/2021,,L,48,99.0,102.8,-3.8,45.9,1.06,13.1,17.3,74.5,44.4,15.4,47.7,52.7,105.00,44.6
1751,GSW vs. SAS,01/20/2021,,W,48,121,46,91,50.5,15,38,39.5,14,20,70.0,10,44,54,31,15,6,2,22,22,ORL @ MIN,01/20/2021,,W,48,101.0,101.1,0.0,72.2,2.17,18.4,32.8,75.0,52.7,12.5,44.6,47.9,95.50,50.5
1752,CLE vs. BKN,01/20/2021,,W,58,147,56,109,51.4,20,40,50.0,15,21,71.4,12,38,50,29,15,10,6,21,12,DET @ ATL,01/20/2021,,L,53,107.5,113.9,-6.4,50.0,1.69,15.7,20.8,58.7,41.4,12.1,50.5,54.6,97.36,45.1
1753,DAL @ IND,01/20/2021,,W,48,124,51,97,52.6,8,27,29.6,14,17,82.4,9,40,49,32,8,5,6,17,12,PHX @ HOU,01/20/2021,,W,48,102.8,99.0,3.8,59.5,1.47,17.6,25.5,82.7,55.6,16.0,51.7,56.0,105.00,55.4
1754,HOU vs. PHX,01/20/2021,,L,48,103,37,88,42.0,10,31,32.3,19,22,86.4,7,32,39,17,16,11,5,19,-6,DAL @ IND,01/20/2021,,W,48,121.6,109.8,11.8,62.7,4.00,21.9,26.1,79.2,54.5,7.8,56.7,59.3,102.00,60.9
1755,BOS @ PHI,01/20/2021,,L,48,109,42,89,47.2,12,33,36.4,13,20,65.0,10,35,45,22,16,3,0,29,-8,SAC @ LAC,01/20/2021,,L,48,93.2,111.7,-18.4,64.1,1.39,18.4,15.4,78.3,44.9,17.5,52.9,52.6,103.00,40.6
1756,PHI vs. BOS,01/20/2021,,W,48,117,36,78,46.2,9,27,33.3,36,45,80.0,11,30,41,20,9,12,3,20,8,MIA @ TOR,01/20/2021,,W,48,115.6,106.3,9.4,74.4,1.53,21.5,26.2,70.4,51.0,19.8,60.0,63.4,96.00,56.0
1757,MIN vs. ORL,01/20/2021,,L,48,96,36,85,42.4,15,35,42.9,9,14,64.3,8,35,43,25,16,5,12,20,-1,PHI vs. BOS,01/20/2021,,W,48,119.4,111.2,8.2,55.6,2.22,15.5,23.9,65.3,45.3,9.2,51.9,59.8,98.00,58.6
1758,ORL @ MIN,01/20/2021,,W,48,97,36,92,39.1,10,31,32.3,15,21,71.4,13,35,48,26,12,5,8,17,1,CLE vs. BKN,01/20/2021,,W,58,122.5,111.6,10.9,51.8,1.93,17.8,27.3,73.3,51.3,12.5,60.6,62.2,99.72,52.9
1759,LAC vs. SAC,01/20/2021,,W,48,115,41,86,47.7,16,35,45.7,17,18,94.4,6,42,48,24,17,14,6,15,19,MIN vs. ORL,01/20/2021,,L,48,101.1,101.0,0.0,69.4,1.56,18.8,25.0,67.2,47.3,16.8,51.2,52.7,95.50,49.5
1760,DEN vs. OKC,01/19/2021,,W,48,119,46,105,43.8,14,42,33.3,13,14,92.9,18,40,58,29,15,11,3,22,18,NOP @ UTA,01/19/2021,,L,48,105.2,121.6,-16.5,39.5,2.13,13.5,21.8,70.5,43.4,8.2,48.4,50.2,97.00,40.2
1761,UTA vs. NOP,01/19/2021,,W,48,118,43,85,50.6,21,47,44.7,11,17,64.7,11,43,54,28,16,4,7,17,16,UTA vs. NOP,01/19/2021,,W,48,121.6,105.2,16.5,65.1,1.75,20.3,29.5,78.2,56.6,16.5,62.9,63.8,97.00,59.8
1762,NOP @ UTA,01/19/2021,,L,48,102,43,95,45.3,6,26,23.1,10,15,66.7,10,28,38,17,8,8,3,15,-16,DEN vs. OKC,01/19/2021,,W,48,114.4,97.1,17.3,63.0,1.93,18.7,37.3,75.5,55.4,14.4,50.5,53.5,104.00,59.2
1763,OKC @ DEN,01/19/2021,,L,48,101,36,86,41.9,14,43,32.6,15,23,65.2,9,32,41,22,19,8,4,15,-18,OKC @ DEN,01/19/2021,,L,48,97.1,114.4,-17.3,61.1,1.16,16.1,24.5,62.7,44.6,18.3,50.0,52.5,104.00,40.8
1764,HOU @ CHI,01/18/2021,,L,48,120,46,88,52.3,17,40,42.5,11,17,64.7,2,34,36,25,17,8,1,20,-5,MIA vs. DET,01/18/2021,,W,48,116.5,111.5,5.0,53.5,1.28,18.0,23.5,70.8,51.2,18.6,65.3,67.8,96.50,56.5
1765,MIL @ BKN,01/18/2021,,L,48,123,46,105,43.8,11,38,28.9,20,24,83.3,11,30,41,21,6,9,2,15,-2,ORL @ NYK,01/18/2021,,L,48,86.6,94.8,-8.2,62.1,1.50,14.2,21.1,72.9,47.4,12.4,40.7,45.1,96.50,46.6
1766,MIA vs. DET,01/18/2021,,W,48,113,43,75,57.3,12,30,40.0,15,19,78.9,5,31,36,23,18,8,6,27,6,ATL vs. MIN,01/18/2021,,W,48,102.9,92.4,10.5,86.5,1.23,21.3,29.5,77.2,56.4,24.8,53.8,60.0,105.00,61.3
1767,ORL @ NYK,01/18/2021,,L,48,84,29,86,33.7,12,38,31.6,14,16,87.5,10,41,51,18,12,4,9,24,-7,DET @ MIA,01/18/2021,,L,48,111.5,116.5,-5.0,63.2,1.33,17.9,29.2,76.5,48.8,18.8,54.3,57.8,96.50,43.5
1768,DET @ MIA,01/18/2021,,L,48,107,38,82,46.3,13,37,35.1,18,24,75.0,10,22,32,24,18,8,3,23,-6,NYK vs. ORL,01/18/2021,,W,48,94.8,86.6,8.2,48.4,1.88,11.8,27.1,78.9,52.6,8.3,38.5,44.6,96.50,53.4
1769,POR vs. SAS,01/18/2021,,L,48,104,39,90,43.3,10,35,28.6,16,19,84.2,8,26,34,20,13,9,6,15,-21,MIN @ ATL,01/18/2021,,L,48,92.4,102.9,-10.5,61.1,1.22,15.9,22.8,70.5,43.6,17.1,47.3,49.5,105.00,38.7
1770,PHX @ MEM,01/18/2021,,L,48,104,40,88,45.5,15,36,41.7,9,16,56.3,12,32,44,30,18,8,4,20,-4,TOR vs. DAL,01/18/2021,,W,48,116.0,93.9,22.1,52.3,1.53,17.2,25.0,78.8,54.2,15.0,56.8,60.5,99.50,61.8
1771,BKN vs. MIL,01/18/2021,,W,48,125,46,84,54.8,15,31,48.4,18,21,85.7,7,42,49,26,17,2,5,19,2,LAL vs. GSW,01/18/2021,,L,48,109.7,112.7,-3.0,57.5,1.21,16.2,34.0,87.0,60.2,18.4,53.6,57.9,102.50,49.6
1772,CHI vs. HOU,01/18/2021,,W,48,125,43,92,46.7,20,45,44.4,19,21,90.5,10,37,47,23,19,10,3,19,5,GSW @ LAL,01/18/2021,,W,48,112.7,109.7,3.0,70.5,2.38,22.3,13.0,66.0,39.8,12.7,57.5,60.0,102.50,50.4
1773,NYK vs. ORL,01/18/2021,,W,48,91,31,87,35.6,5,27,18.5,24,34,70.6,13,40,53,15,8,6,4,16,7,POR vs. SAS,01/18/2021,,L,48,106.1,127.6,-21.4,51.3,1.54,15.3,26.9,65.9,44.8,13.3,48.9,52.9,98.00,38.4
1774,GSW @ LAL,01/18/2021,,W,48,115,44,87,50.6,12,37,32.4,15,20,75.0,5,27,32,31,13,8,3,27,2,MEM vs. PHX,01/18/2021,,W,48,110.2,105.1,5.2,75.6,2.07,22.3,23.8,67.3,47.9,15.3,56.0,58.8,98.50,55.7
1775,TOR vs. DAL,01/18/2021,,W,48,116,44,88,50.0,12,33,36.4,16,18,88.9,9,37,46,23,15,9,6,23,23,CHI vs. HOU,01/18/2021,,W,48,115.7,113.2,2.5,53.5,1.21,16.0,30.6,86.7,57.4,17.6,57.6,61.7,107.00,52.1
1776,MIN @ ATL,01/18/2021,,L,48,97,36,91,39.6,14,37,37.8,11,16,68.8,9,30,39,22,18,16,6,21,-11,HOU @ CHI,01/18/2021,,L,48,113.2,115.7,-2.5,54.3,1.47,18.2,13.3,69.4,42.6,16.0,61.9,62.8,107.00,47.9
1777,ATL vs. MIN,01/18/2021,,W,48,108,37,79,46.8,11,28,39.3,23,25,92.0,7,41,48,32,26,15,8,17,11,BKN vs. MIL,01/18/2021,,W,48,117.9,117.1,0.8,56.5,1.53,18.6,20.5,72.6,52.5,16.0,63.7,67.0,105.50,54.0
1778,DAL @ TOR,01/18/2021,,L,48,93,31,82,37.8,9,36,25.0,22,27,81.5,8,30,38,21,17,6,4,16,-23,SAS @ POR,01/18/2021,,W,48,127.6,106.1,21.4,68.8,2.54,22.6,34.1,73.1,55.2,13.3,61.7,64.4,98.00,61.6
1779,LAL vs. GSW,01/18/2021,,L,48,113,40,83,48.2,9,29,31.0,24,33,72.7,12,38,50,23,19,6,5,22,-2,PHX @ MEM,01/18/2021,,L,48,105.1,110.2,-5.2,75.0,1.67,20.8,32.7,76.2,52.1,18.2,54.0,54.7,98.50,44.3
1780,MEM vs. PHX,01/18/2021,,W,48,108,41,83,49.4,11,26,42.3,15,20,75.0,9,31,40,31,15,13,3,15,4,DAL @ TOR,01/18/2021,,L,48,93.9,116.0,-22.1,67.7,1.24,16.0,21.2,75.0,45.8,17.2,43.3,49.5,99.50,38.2
1781,SAS @ POR,01/18/2021,,W,48,125,48,90,53.3,15,33,45.5,14,16,87.5,12,36,48,33,13,6,6,17,21,MIL @ BKN,01/18/2021,,L,48,117.1,117.9,-0.8,45.7,3.50,14.7,27.4,79.5,47.5,5.7,49.0,53.2,105.50,46.0
1782,SAC vs. NOP,01/17/2021,,L,48,123,47,91,51.6,13,39,33.3,16,18,88.9,8,25,33,23,11,7,7,24,-5,NOP @ SAC,01/17/2021,,W,48,126.7,123.0,3.7,53.3,1.71,17.1,34.9,77.8,56.8,13.9,59.4,64.0,100.50,54.0
1783,DEN vs. UTA,01/17/2021,,L,48,105,40,100,40.0,14,37,37.8,11,15,73.3,23,29,52,25,10,6,6,23,-4,NYK @ BOS,01/17/2021,,W,48,106.1,77.3,28.7,57.9,1.29,16.7,25.6,73.1,54.5,17.2,55.0,58.8,98.00,78.5
1784,DAL vs. CHI,01/17/2021,,L,48,101,41,93,44.1,8,31,25.8,11,19,57.9,12,35,47,18,17,6,2,23,-16,DEN vs. UTA,01/17/2021,,L,48,112.9,117.2,-4.3,62.5,2.50,17.5,43.5,79.1,58.1,10.8,47.0,49.2,93.00,47.1
1785,LAC vs. IND,01/17/2021,,W,48,129,48,87,55.2,19,39,48.7,14,20,70.0,9,43,52,27,18,4,3,19,33,SAC vs. NOP,01/17/2021,,L,48,123.0,126.7,-3.7,48.9,2.09,17.3,22.2,65.1,43.2,11.0,58.8,62.2,100.50,46.0
1786,BOS vs. NYK,01/17/2021,,L,48,75,25,84,29.8,7,46,15.2,18,29,62.1,14,29,43,15,18,10,2,22,-30,CHI @ DAL,01/17/2021,,W,48,110.4,96.2,14.2,74.4,2.29,21.8,21.7,77.2,52.4,13.2,54.7,58.8,105.50,64.6
1787,CHI @ DAL,01/17/2021,,W,48,117,43,85,50.6,7,25,28.0,24,33,72.7,5,42,47,32,14,14,6,23,16,LAC vs. IND,01/17/2021,,W,48,124.0,92.3,31.7,56.3,1.50,18.9,28.6,83.6,59.8,17.3,66.1,67.3,104.00,62.6
1788,UTA @ DEN,01/17/2021,,W,48,109,39,76,51.3,15,37,40.5,16,28,57.1,7,29,36,24,13,7,6,21,4,DAL vs. CHI,01/17/2021,,L,48,96.2,110.4,-14.2,43.9,1.06,13.2,22.8,78.3,47.6,16.2,48.4,49.8,105.50,35.4
1789,IND @ LAC,01/17/2021,,L,48,96,37,89,41.6,11,38,28.9,11,16,68.8,6,27,33,28,16,13,2,19,-33,BOS vs. NYK,01/17/2021,,L,48,77.3,106.1,-28.7,60.0,0.83,11.5,26.9,74.4,45.5,18.6,33.9,38.8,98.00,21.5
1790,NYK @ BOS,01/17/2021,,W,48,105,38,80,47.5,12,31,38.7,17,21,81.0,10,43,53,22,17,11,7,28,30,IND @ LAC,01/17/2021,,L,48,92.3,124.0,-31.7,75.7,1.75,19.9,16.4,71.4,40.2,15.4,47.8,50.0,104.00,37.4
1791,NOP @ SAC,01/17/2021,,W,48,128,45,85,52.9,11,22,50.0,27,34,79.4,14,34,48,24,14,5,1,15,5,UTA @ DEN,01/17/2021,,W,48,117.2,112.9,4.3,61.5,1.85,19.2,20.9,56.5,41.9,14.0,61.2,61.7,93.00,52.9
1792,POR vs. ATL,01/16/2021,,W,48,112,40,103,38.8,15,44,34.1,17,20,85.0,17,38,55,18,8,6,8,20,6,TOR vs. CHA,01/16/2021,,W,48,112.6,111.9,0.7,77.8,1.87,19.2,28.8,73.6,51.4,14.6,54.1,59.5,102.00,51.0
1793,PHI @ MEM,01/16/2021,,L,48,104,37,84,44.0,7,25,28.0,23,32,71.9,15,38,53,23,23,5,11,17,-2,ATL @ POR,01/16/2021,,L,48,103.9,107.7,-3.8,63.2,1.85,17.6,20.0,68.8,47.4,12.7,47.1,53.4,103.00,50.3
1794,SAS vs. HOU,01/16/2021,,W,48,103,40,100,40.0,5,24,20.8,18,23,78.3,17,41,58,19,12,10,7,21,12,PHI @ MEM,01/16/2021,,L,48,101.0,102.9,-1.9,62.2,1.00,15.9,38.5,70.7,55.5,22.3,48.2,53.0,103.00,49.4
1795,ORL @ BKN,01/16/2021,,L,48,115,44,95,46.3,14,46,30.4,13,16,81.3,9,29,38,28,12,13,4,19,-7,MIA vs. DET,01/16/2021,,L,48,104.2,123.7,-19.5,78.1,1.09,19.5,18.9,61.7,42.9,24.0,56.7,63.4,96.50,40.5
1796,CHA @ TOR,01/16/2021,,L,48,113,38,87,43.7,15,36,41.7,22,29,75.9,12,36,48,26,15,6,5,20,-3,ORL @ BKN,01/16/2021,,L,48,111.7,118.4,-6.8,63.6,2.33,19.4,26.4,81.1,48.9,11.7,53.7,56.4,103.00,46.1
1797,MEM vs. PHI,01/16/2021,,W,48,106,43,99,43.4,8,29,27.6,12,18,66.7,11,32,43,27,11,15,3,25,2,BKN vs. ORL,01/16/2021,,W,48,118.4,111.7,6.8,57.1,1.26,17.9,18.9,73.6,51.1,18.4,64.1,68.5,103.00,53.9
1798,TOR vs. CHA,01/16/2021,,W,48,116,36,86,41.9,21,49,42.9,23,26,88.5,7,36,43,28,15,5,8,22,3,CHA @ TOR,01/16/2021,,L,48,111.9,112.6,-0.7,68.4,1.73,18.4,26.4,71.2,48.6,14.9,52.3,56.6,102.00,49.0
1799,BKN vs. ORL,01/16/2021,,W,48,122,42,78,53.8,16,35,45.7,22,25,88.0,4,37,41,24,19,9,5,14,7,HOU @ SAS,01/16/2021,,L,48,90.1,100.0,-9.9,64.5,0.87,14.6,27.6,67.2,48.4,22.8,44.0,47.5,102.00,41.0
1800,DET @ MIA,01/16/2021,,W,48,120,46,91,50.5,18,46,39.1,10,15,66.7,10,29,39,34,13,9,8,28,20,SAS vs. HOU,01/16/2021,,W,48,100.0,90.1,9.9,47.5,1.58,13.5,32.8,72.4,51.6,11.7,42.5,46.8,102.00,59.0
1801,HOU @ SAS,01/16/2021,,L,48,91,31,84,36.9,12,32,37.5,17,27,63.0,12,39,51,20,23,6,9,20,-12,MEM vs. PHI,01/16/2021,,W,48,102.9,101.0,1.9,62.8,2.45,18.5,29.3,61.5,44.5,10.7,47.5,49.6,103.00,50.6
1802,ATL @ POR,01/16/2021,,L,48,106,38,87,43.7,6,30,20.0,24,28,85.7,7,41,48,24,13,4,6,22,-6,POR vs. ATL,01/16/2021,,W,48,107.7,103.9,3.8,45.0,2.25,12.8,31.3,80.0,52.6,7.7,46.1,50.1,103.00,49.7
1803,MIA vs. DET,01/16/2021,,L,48,100,32,67,47.8,12,29,41.4,24,27,88.9,5,26,31,25,23,1,5,21,-20,DET @ MIA,01/16/2021,,W,48,123.7,104.2,19.5,73.9,2.62,22.8,38.3,81.1,57.1,13.4,60.4,61.5,96.50,59.5
1804,DAL @ MIL,01/15/2021,,L,48,109,45,97,46.4,13,36,36.1,6,13,46.2,11,40,51,22,9,5,6,23,-3,ATL @ UTA,01/15/2021,,L,48,89.3,113.7,-24.4,55.3,1.40,15.4,23.6,69.2,45.8,14.6,44.0,46.7,102.50,38.0
1805,LAC @ SAC,01/15/2021,,W,48,138,52,89,58.4,18,35,51.4,16,20,80.0,12,35,47,29,11,10,3,19,38,LAL vs. NOP,01/15/2021,,W,48,116.7,99.0,17.7,79.5,3.88,21.4,31.6,70.8,49.5,8.3,50.0,53.6,96.00,59.5
1806,ORL @ BOS,01/15/2021,,L,48,97,38,94,40.4,7,28,25.0,14,22,63.6,15,31,46,14,13,5,1,16,-27,SAC vs. LAC,01/15/2021,,L,48,102.0,143.8,-41.7,57.5,1.64,17.4,25.5,66.7,44.2,14.3,51.8,54.1,97.00,33.7
1807,OKC vs. CHI,01/15/2021,,W,53,127,48,105,45.7,15,45,33.3,16,24,66.7,7,37,44,26,13,12,2,23,2,OKC vs. CHI,01/15/2021,,W,53,109.5,107.8,1.7,54.2,2.00,16.7,22.6,74.0,45.5,11.2,52.9,54.9,105.06,49.3
1808,UTA vs. ATL,01/15/2021,,W,48,116,43,92,46.7,20,44,45.5,10,14,71.4,12,41,53,27,19,7,6,18,24,BOS vs. ORL,01/15/2021,,W,48,126.5,98.0,28.6,55.6,2.27,18.9,20.5,67.2,47.6,11.2,60.8,64.3,98.50,67.0
1809,NYK @ CLE,01/15/2021,,L,48,103,40,82,48.8,9,25,36.0,14,16,87.5,7,32,39,20,13,9,10,21,-3,LAC @ SAC,01/15/2021,,W,48,143.8,102.0,41.7,55.8,2.64,21.0,33.3,74.5,55.8,11.5,68.5,70.6,97.00,66.3
1810,CLE vs. NYK,01/15/2021,,W,48,106,36,79,45.6,9,27,33.3,25,34,73.5,14,34,48,26,16,9,6,18,3,CLE vs. NYK,01/15/2021,,W,48,112.8,108.4,4.3,72.2,1.63,19.0,34.0,77.3,54.3,17.0,51.3,56.4,94.50,51.2
1811,ATL @ UTA,01/15/2021,,L,48,92,38,92,41.3,5,28,17.9,11,15,73.3,8,33,41,21,15,6,1,16,-24,MIL vs. DAL,01/15/2021,,W,48,114.3,109.0,5.3,51.2,2.00,15.9,29.5,75.0,51.3,11.2,52.1,52.3,99.00,51.3
1812,BOS vs. ORL,01/15/2021,,W,48,124,45,88,51.1,17,42,40.5,17,19,89.5,6,39,45,25,11,7,4,18,27,NYK @ CLE,01/15/2021,,L,48,108.4,112.8,-4.3,50.0,1.54,16.1,22.7,66.0,45.7,13.7,54.3,57.8,94.50,48.8
1813,CHI @ OKC,01/15/2021,,L,53,125,43,91,47.3,21,46,45.7,18,25,72.0,9,47,56,27,24,5,8,25,-2,ORL @ BOS,01/15/2021,,L,48,98.0,126.5,-28.6,36.8,1.08,10.6,32.8,79.5,52.4,13.1,44.1,46.8,98.50,33.0
1814,NOP @ LAL,01/15/2021,,L,48,95,41,86,47.7,9,29,31.0,4,8,50.0,10,37,47,22,20,3,5,21,-17,NOP @ LAL,01/15/2021,,L,48,99.0,116.7,-17.7,53.7,1.10,16.7,29.2,68.4,50.5,20.8,52.9,53.1,96.00,40.5
1815,SAC vs. LAC,01/15/2021,,L,48,100,40,85,47.1,8,26,30.8,12,17,70.6,9,23,32,23,14,4,2,16,-38,DAL @ MIL,01/15/2021,,L,48,109.0,114.3,-5.3,48.9,2.44,16.5,25.0,70.5,48.7,9.0,53.1,53.1,99.00,48.7
1816,MIL vs. DAL,01/15/2021,,W,48,112,43,96,44.8,14,37,37.8,12,25,48.0,16,41,57,22,11,5,3,14,3,CHI @ OKC,01/15/2021,,L,53,107.8,109.5,-1.7,62.8,1.13,17.3,26.0,77.4,54.5,20.7,58.8,61.3,105.06,50.7
1817,LAL vs. NOP,01/15/2021,,W,48,112,39,93,41.9,15,37,40.5,19,26,73.1,13,31,44,31,8,11,6,16,17,UTA vs. ATL,01/15/2021,,W,48,113.7,89.3,24.4,62.8,1.42,18.8,30.8,76.4,54.2,18.6,57.6,59.1,102.50,62.0
1818,IND @ POR,01/14/2021,,W,48,111,44,92,47.8,9,30,30.0,14,18,77.8,13,37,50,29,14,11,5,13,24,POR vs. IND,01/14/2021,,L,48,89.7,116.8,-27.2,50.0,0.89,12.4,30.9,64.0,46.7,18.6,44.3,47.6,96.00,31.6
1819,HOU @ SAS,01/14/2021,,W,48,109,42,86,48.8,13,33,39.4,12,19,63.2,10,39,49,25,18,6,6,16,4,GSW @ DEN,01/14/2021,,L,48,99.0,107.5,-8.5,76.3,1.53,20.7,12.8,75.0,45.5,18.1,53.7,56.8,105.50,45.3
1820,DEN vs. GSW,01/14/2021,,W,48,114,41,90,45.6,11,37,29.7,21,27,77.8,10,40,50,29,14,11,5,23,10,DEN vs. GSW,01/14/2021,,W,48,107.5,99.0,8.5,70.7,2.07,19.7,25.0,87.2,54.5,13.2,51.7,55.9,105.50,54.8
1821,TOR vs. CHA,01/14/2021,,W,48,111,40,88,45.5,20,50,40.0,11,13,84.6,13,27,40,33,18,13,6,16,3,IND @ POR,01/14/2021,,W,48,116.8,89.7,27.2,65.9,2.07,20.4,36.0,69.1,53.3,14.7,52.7,55.5,96.00,68.4
1822,MIA @ PHI,01/14/2021,,L,48,108,40,81,49.4,12,34,35.3,16,26,61.5,9,32,41,28,20,4,1,19,-17,CHA @ TOR,01/14/2021,,L,48,110.2,114.4,-4.2,76.2,1.60,21.8,38.3,67.3,53.1,20.4,56.9,58.5,97.50,49.5
1823,GSW @ DEN,01/14/2021,,L,48,104,38,81,46.9,11,29,37.9,17,24,70.8,5,38,43,29,19,9,4,25,-10,PHI vs. MIA,01/14/2021,,W,48,117.9,101.9,16.0,61.4,1.50,19.3,17.9,79.5,50.6,17.0,64.0,67.5,106.00,57.8
1824,PHI vs. MIA,01/14/2021,,W,48,125,44,82,53.7,17,37,45.9,20,24,83.3,5,30,35,27,18,15,3,22,17,SAS vs. HOU,01/14/2021,,L,48,106.1,110.1,-4.0,61.9,2.60,19.4,21.2,69.4,44.6,10.1,50.5,53.0,99.00,49.0
1825,CHA @ TOR,01/14/2021,,L,48,108,42,87,48.3,15,35,42.9,9,12,75.0,14,30,44,32,20,11,5,15,-3,MIA @ PHI,01/14/2021,,L,48,101.9,117.9,-16.0,70.0,1.40,19.6,20.5,82.1,49.4,18.9,56.8,58.4,106.00,42.2
1826,SAS vs. HOU,01/14/2021,,L,48,105,42,92,45.7,9,31,29.0,12,16,75.0,10,31,41,26,10,10,4,17,-4,TOR vs. CHA,01/14/2021,,W,48,114.4,110.2,4.2,82.5,1.83,22.8,32.7,61.7,46.9,18.6,56.8,59.2,97.50,50.5
1827,POR vs. IND,01/14/2021,,L,48,87,32,87,36.8,13,43,30.2,10,10,100,14,29,43,16,18,8,5,22,-24,HOU @ SAS,01/14/2021,,W,48,110.1,106.1,4.0,59.5,1.39,18.1,30.6,78.8,55.4,18.2,56.4,57.8,99.00,51.0
