,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
60,SAS @ NYK,05/13/2021,,L,48,98,38,91,41.8,6,21,28.6,16,19,84.2,9,38,47,22,11,4,6,16,-4,TOR @ CHI,05/13/2021,,L,48,104.1,114.0,-9.9,60.0,2.18,18.2,18.2,71.1,39.8,11.2,51.1,52.1,99.00,41.7
61,MIA vs. PHI,05/13/2021,,W,48,106,41,81,50.6,13,35,37.1,11,11,100,15,32,47,26,20,5,6,15,12,LAC @ CHA,05/13/2021,,W,48,118.9,96.8,22.2,70.0,1.65,21.5,21.6,77.4,54.4,17.9,67.3,68.9,94.00,61.9
62,IND vs. MIL,05/13/2021,,L,48,133,50,110,45.5,21,43,48.8,12,15,80.0,12,28,40,34,8,6,2,22,-9,ATL vs. ORL,05/13/2021,,W,48,119.6,95.9,23.7,46.3,2.71,14.5,27.8,66.7,48.2,7.2,51.1,55.5,97.00,59.9
63,MIN vs. DEN,05/13/2021,,L,48,103,34,80,42.5,16,41,39.0,19,32,59.4,11,32,43,20,15,3,5,17,-11,MIA vs. PHI,05/13/2021,,W,48,119.1,104.4,14.7,63.4,1.30,19.7,42.5,72.7,58.3,22.5,58.6,61.7,89.50,59.7
64,DEN @ MIN,05/13/2021,,W,48,114,46,96,47.9,12,36,33.3,10,11,90.9,14,39,53,30,14,6,3,25,11,NYK vs. SAS,05/13/2021,,W,48,108.5,103.2,5.4,65.7,2.30,18.0,21.6,71.4,47.7,10.6,48.8,54.3,94.50,53.4
65,MEM vs. SAC,05/13/2021,,W,48,116,45,90,50.0,11,33,33.3,15,18,83.3,12,36,48,30,18,2,9,13,6,SAC @ MEM,05/13/2021,,L,48,114.6,119.6,-5.0,78.6,3.00,22.6,32.1,54.3,42.2,11.5,52.6,53.8,96.50,46.2
66,PHX vs. POR,05/13/2021,,W,48,118,41,88,46.6,13,32,40.6,23,26,88.5,10,32,42,22,11,4,3,17,1,PHX vs. POR,05/13/2021,,W,48,120.4,118.2,2.2,53.7,2.00,16.4,29.2,84.6,54.0,11.2,54.0,59.3,98.50,48.9
67,SAC @ MEM,05/13/2021,,L,48,110,42,96,43.8,17,41,41.5,9,14,64.3,13,22,35,33,11,9,9,16,-6,ORL @ ATL,05/13/2021,,L,48,95.9,119.6,-23.7,66.7,1.71,17.1,33.3,72.2,51.8,14.4,44.1,46.2,97.00,40.1
68,POR @ PHX,05/13/2021,,L,48,117,44,81,54.3,15,33,45.5,14,18,77.8,1,32,33,23,13,7,3,18,-1,SAS @ NYK,05/13/2021,,L,48,103.2,108.5,-5.4,57.9,2.00,16.5,28.6,78.4,52.3,11.6,45.1,49.3,94.50,46.6
69,PHI @ MIA,05/13/2021,,L,48,94,36,78,46.2,7,25,28.0,15,20,75.0,8,22,30,20,13,8,1,18,-12,PHI @ MIA,05/13/2021,,L,48,104.4,119.1,-14.7,55.6,1.54,16.5,27.3,57.5,41.7,14.4,50.6,54.1,89.50,40.3
70,MIL @ IND,05/13/2021,,W,48,142,54,94,57.4,11,30,36.7,23,31,74.2,10,41,51,34,12,5,6,10,9,MEM vs. SAC,05/13/2021,,W,48,119.6,114.6,5.0,66.7,1.67,20.5,45.7,67.9,57.8,18.6,56.1,59.2,96.50,53.8
71,CHA vs. LAC,05/13/2021,,L,48,90,33,84,39.3,9,33,27.3,15,19,78.9,8,27,35,24,12,9,1,15,-23,DEN @ MIN,05/13/2021,,W,48,115.2,105.1,10.0,65.2,2.14,20.4,36.0,76.9,56.9,14.1,54.2,56.5,98.50,58.9
72,ATL vs. ORL,05/13/2021,,W,48,116,41,94,43.6,14,36,38.9,20,24,83.3,12,37,49,19,7,9,4,16,23,CHI vs. TOR,05/13/2021,,W,48,114.0,104.1,9.9,68.9,1.63,21.8,28.9,81.8,60.2,19.0,64.5,65.2,99.00,58.3
73,TOR @ CHI,05/13/2021,,L,48,102,40,90,44.4,12,36,33.3,10,18,55.6,7,25,32,24,11,16,1,14,-12,CHA vs. LAC,05/13/2021,,L,48,96.8,118.9,-22.2,72.7,2.00,18.6,22.6,78.4,45.6,12.9,44.6,48.7,94.00,38.1
74,LAC @ CHA,05/13/2021,,W,48,113,40,75,53.3,21,45,46.7,12,16,75.0,6,38,44,28,17,6,6,17,23,MIN vs. DEN,05/13/2021,,L,48,105.1,115.2,-10.0,58.8,1.33,15.4,23.1,64.0,43.1,15.3,52.5,54.7,98.50,41.1
75,NYK vs. SAS,05/13/2021,,W,48,102,35,86,40.7,14,35,40.0,18,18,100,10,38,48,23,10,7,8,19,4,MIL @ IND,05/13/2021,,W,48,130.3,123.1,7.1,63.0,2.83,21.7,29.8,70.5,52.8,11.0,63.3,66.0,108.50,58.2
76,DAL vs. NOP,05/12/2021,,W,48,125,47,96,49.0,15,45,33.3,16,20,80.0,9,39,48,23,8,4,2,27,18,ATL vs. WAS,05/12/2021,,W,48,112.1,108.4,3.7,50.0,1.57,16.1,17.8,78.9,52.0,13.1,57.0,61.0,107.00,51.4
