,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,Team,Opponent,Home,Date,Win,Minutes
100,99.0,34.0,87.0,39.1,10.0,29.0,34.5,21.0,23.0,91.3,5.0,36.0,41.0,19.0,10.0,8.0,3.0,21.0,-2.0,109.6,101.1,8.5,75.7,2.0,20.9,27.7,78.8,54.5,14.9,53.0,57.2,93.5,57.1,NYK,LAL,0,05/11/2021,L,53.0
101,96.0,35.0,86.0,40.7,10.0,37.0,27.0,16.0,19.0,84.2,9.0,26.0,35.0,21.0,13.0,10.0,8.0,22.0,-19.0,98.1,108.6,-10.5,46.2,1.5,13.4,20.7,68.8,45.9,11.5,46.8,49.6,104.5,43.3,TOR,LAC,1,05/11/2021,L,48.0
102,114.0,43.0,101.0,42.6,8.0,33.0,24.2,20.0,27.0,74.1,17.0,46.0,63.0,16.0,9.0,10.0,1.0,15.0,12.0,118.4,101.9,16.5,63.6,1.75,20.0,19.6,70.6,46.4,15.5,62.2,64.6,103.5,57.1,MIL,ORL,1,05/11/2021,W,48.0
103,117.0,41.0,83.0,49.4,13.0,33.0,39.4,22.0,26.0,84.6,10.0,28.0,38.0,26.0,17.0,12.0,2.0,19.0,5.0,119.8,111.5,8.3,76.2,4.0,22.5,27.5,70.7,50.5,8.3,53.9,57.5,96.0,58.3,DEN,CHA,0,05/11/2021,W,48.0
104,94.0,38.0,87.0,43.7,8.0,26.0,30.8,10.0,14.0,71.4,5.0,30.0,35.0,23.0,11.0,9.0,5.0,17.0,-9.0,99.0,119.8,-20.8,60.0,1.62,16.5,20.8,71.8,42.4,13.4,46.5,50.9,96.5,37.2,PHI,IND,0,05/11/2021,L,48.0
105,101.0,37.0,89.0,41.6,12.0,28.0,42.9,15.0,19.0,78.9,14.0,39.0,53.0,31.0,20.0,5.0,5.0,17.0,2.0,107.7,114.7,-7.0,71.4,1.76,20.1,34.7,77.3,54.8,16.3,52.2,56.1,103.0,50.5,LAL,NYK,1,05/11/2021,W,53.0
106,121.0,46.0,88.0,52.3,18.0,37.0,48.6,11.0,17.0,64.7,3.0,29.0,32.0,31.0,11.0,8.0,5.0,21.0,-8.0,110.2,92.6,17.6,66.7,2.0,19.6,26.8,79.1,49.5,13.9,53.1,55.5,108.0,59.0,BOS,MIA,1,05/11/2021,L,48.0
107,106.0,39.0,84.0,46.4,9.0,23.0,39.1,19.0,28.0,67.9,9.0,36.0,45.0,22.0,18.0,9.0,5.0,18.0,-16.0,97.1,99.0,-2.0,55.9,1.9,14.6,17.0,71.4,45.0,9.8,44.8,51.0,92.38,46.4,OKC,SAC,0,05/11/2021,L,48.0
108,107.0,39.0,96.0,40.6,18.0,44.0,40.9,11.0,14.0,78.6,10.0,35.0,45.0,21.0,9.0,4.0,5.0,20.0,-8.0,140.0,109.5,30.5,62.7,2.91,22.7,36.8,65.4,53.3,11.6,66.3,69.2,95.0,64.3,CHI,BKN,1,05/11/2021,L,48.0
109,115.0,42.0,89.0,47.2,12.0,33.0,36.4,19.0,25.0,76.0,13.0,38.0,51.0,32.0,8.0,4.0,8.0,19.0,8.0,111.5,119.8,-8.3,53.8,2.33,15.8,29.3,72.5,49.5,9.4,50.0,52.4,96.0,41.7,BKN,CHI,0,05/11/2021,W,48.0
110,125.0,46.0,96.0,47.9,10.0,30.0,33.3,23.0,26.0,88.5,13.0,42.0,55.0,23.0,12.0,4.0,6.0,17.0,1.0,117.0,116.8,0.2,54.9,3.11,19.7,15.7,69.2,42.7,8.5,57.5,59.1,106.5,49.9,ATL,WAS,1,05/10/2021,W,48.0
111,124.0,51.0,100.0,51.0,13.0,26.0,50.0,9.0,11.0,81.8,8.0,34.0,42.0,28.0,9.0,8.0,8.0,21.0,-1.0,112.1,105.2,7.0,72.7,2.91,22.5,25.5,65.6,48.1,11.1,56.3,58.4,98.0,59.0,WAS,ATL,0,05/10/2021,L,48.0
112,146.0,56.0,94.0,59.6,17.0,29.0,58.6,17.0,21.0,81.0,9.0,37.0,46.0,27.0,13.0,6.0,5.0,16.0,21.0,105.2,112.1,-7.0,63.6,1.75,15.1,34.4,74.5,51.9,12.4,42.5,48.0,98.0,41.0,SAS,MIL,1,05/10/2021,W,48.0
113,119.0,41.0,88.0,46.6,14.0,42.0,33.3,23.0,25.0,92.0,9.0,32.0,41.0,26.0,10.0,8.0,2.0,20.0,3.0,140.4,119.0,21.3,48.2,2.08,18.8,33.3,79.6,59.1,12.5,68.6,70.7,104.5,56.5,GSW,UTA,1,05/10/2021,W,48.0
114,129.0,42.0,85.0,49.4,18.0,38.0,47.4,27.0,28.0,96.4,7.0,37.0,44.0,30.0,13.0,5.0,2.0,26.0,-11.0,116.8,117.0,-0.2,50.0,1.92,16.0,30.8,84.3,57.3,11.2,53.1,58.2,106.5,50.1,HOU,POR,0,05/10/2021,L,48.0
115,140.0,47.0,92.0,51.1,18.0,40.0,45.0,28.0,35.0,80.0,12.0,35.0,47.0,30.0,9.0,7.0,4.0,18.0,11.0,122.9,132.1,-9.2,71.4,2.31,21.1,16.3,75.5,47.8,12.4,60.0,66.3,105.5,46.5,POR,HOU,1,05/10/2021,W,48.0
