Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2016-05-03,away,Portland,Golden State,1610612757,0041500222,41.2,445,415,400,395,375.0,400,397.0,415.0,375.0,0.0,9.5,-105,9.0,-105,9.0,-110,9.0,-105,9.5,-110,9.0,-111,9.17,-107.67,9.5,9.0,-105,-111,57.2,213.5,-110,212.5,-103,212.0,-110,213.0,-105,213,-110,212.0,-110,212.67,-108.0,213.5,212.0,-103,-110,99,-11,L,209
2016-05-03,home,Golden State,Portland,1610612744,0041500222,58.8,-550,-489,-500,-495,-550.0,-475,-501.8,-475.0,-550.0,100.0,-9.5,-115,-9.0,-105,-9.0,-110,-9.0,-105,-9.5,-110,-9.0,-109,-9.17,-109.0,-9.0,-9.5,-105,-115,42.8,213.5,-110,212.5,-107,212.0,-110,213.0,-105,213,-110,212.0,-110,212.67,-108.67,213.5,212.0,-105,-110,110,11,W,209
2016-05-04,away,Atlanta,Cleveland,1610612737,0041500202,7.1,285,297,290,310,285.0,300,296.4,310.0,285.0,42.9,7.5,-110,7.0,-102,7.0,-110,7.5,-105,7.5,-110,7.0,-110,7.25,-107.83,7.5,7.0,-102,-110,0.0,199.0,-110,196.5,-106,196.0,-110,196.5,-105,197,-110,196.0,-115,196.83,-109.33,199.0,196.0,-105,-115,98,-25,L,221
2016-05-04,home,Cleveland,Atlanta,1610612739,0041500202,92.9,-340,-340,-350,-380,-370.0,-360,-360.0,-340.0,-380.0,57.1,-7.5,-110,-7.0,-108,-7.0,-110,-7.5,-105,-7.5,-110,-7.0,-110,-7.25,-108.83,-7.0,-7.5,-105,-110,100.0,199.0,-110,196.5,-104,196.0,-110,196.5,-105,197,-110,196.0,-105,196.83,-107.33,199.0,196.0,-104,-110,123,25,W,221
2016-05-05,away,Miami,Toronto,1610612748,0041500212,0.0,170,195,185,210,185.0,190,193.0,210.0,185.0,0.0,4.0,-110,5.0,-102,5.0,-110,5.5,-100,5.0,-105,5.0,-105,4.92,-105.33,5.5,4.0,-100,-110,51.9,189.5,-110,190.0,-113,189.5,-110,190.5,-105,190,-105,190.0,-110,189.92,-108.83,190.5,189.5,-105,-113,92,-4,L,188
2016-05-05,home,Toronto,Miami,1610612761,0041500212,100.0,-195,-218,-225,-245,-225.0,-220,-226.6,-218.0,-245.0,100.0,-4.0,-110,-5.0,-113,-5.0,-110,-5.5,-110,-5.0,-115,-5.0,-115,-4.92,-112.17,-4.0,-5.5,-110,-115,48.1,189.5,-110,190.0,-102,189.5,-110,190.5,-105,190,-115,190.0,-110,189.92,-108.67,190.5,189.5,-102,-115,96,4,W,188
2016-05-06,away,Cleveland,Atlanta,1610612739,0041500203,57.6,-145,-133,-138,-145,-155.0,-142,-142.6,-133.0,-155.0,60.9,-3.0,-110,-2.5,-103,-2.5,-110,-2.0,-105,-3.5,-115,-2.5,-110,-2.67,-108.83,-2.0,-3.5,-103,-115,44.8,200.0,-110,197.0,-102,196.5,-110,196.5,-105,197,-110,196.5,-110,197.25,-107.83,200.0,196.5,-102,-110,121,13,W,229
2016-05-06,home,Atlanta,Cleveland,1610612737,0041500203,42.4,125,120,118,125,135.0,122,124.0,135.0,118.0,39.1,3.0,-110,2.5,-107,2.5,-110,2.0,-105,3.5,-105,2.5,-110,2.67,-107.83,3.5,2.0,-105,-110,55.2,200.0,-110,197.0,-108,196.5,-110,196.5,-105,197,-110,196.5,-110,197.25,-108.83,200.0,196.5,-105,-110,108,-13,L,229
2016-05-06,away,San Antonio,Oklahoma City,1610612759,0041500233,58.1,100,-143,-137,-145,,-140,-141.25,-137.0,-145.0,58.7,1.5,-110,-2.5,-104,-2.5,-110,-2.5,-105,-3.5,-105,-2.5,-110,-2.0,-107.33,1.5,-3.5,-104,-110,60.8,199.0,-110,200.0,-104,200.0,-110,200.0,-105,201,-115,200.0,-110,200.0,-109.0,201.0,199.0,-104,-115,100,4,W,196
2016-05-06,home,Oklahoma City,San Antonio,1610612760,0041500233,41.9,-120,129,117,125,,120,122.75,129.0,117.0,41.3,-1.5,-110,2.5,-106,2.5,-110,2.5,-105,3.5,-115,2.5,-110,2.0,-109.33,3.5,-1.5,-105,-115,39.2,199.0,-110,200.0,-106,200.0,-110,200.0,-105,201,-105,200.0,-110,200.0,-107.67,201.0,199.0,-105,-110,96,-4,L,196
2016-05-07,away,Toronto,Miami,1610612761,0041500213,41.1,175,193,190,205,205.0,200,198.6,205.0,190.0,0.0,4.0,-110,5.0,-106,5.5,-110,5.0,-105,6.0,-115,5.5,-110,5.17,-109.33,6.0,4.0,-105,-115,52.5,188.0,-110,188.5,-110,188.0,-110,189.0,-105,188,-110,188.5,-115,188.33,-110.0,189.0,188.0,-105,-115,95,4,W,186
2016-05-07,home,Miami,Toronto,1610612748,0041500213,58.9,-205,-215,-230,-240,-245.0,-240,-234.0,-215.0,-245.0,100.0,-4.0,-110,-5.0,-104,-5.5,-110,-5.0,-105,-6.0,-105,-5.5,-110,-5.17,-107.33,-4.0,-6.0,-104,-110,47.5,188.0,-110,188.5,-100,188.0,-110,189.0,-105,188,-110,188.5,-105,188.33,-106.67,189.0,188.0,-100,-110,91,-4,L,186
2016-05-07,away,Golden State,Portland,1610612744,0041500223,50.2,-170,-143,-145,-130,-160.0,-143,-144.2,-130.0,-160.0,57.3,-3.5,-110,-2.5,-108,-3.0,-110,-2.0,-105,-4.0,-115,-2.5,-110,-2.92,-109.67,-2.0,-4.0,-105,-115,61.3,212.5,-110,212.5,-106,212.5,-110,213.5,-105,214,-105,212.5,-110,212.92,-107.67,214.0,212.5,-105,-110,108,-12,L,228
